湖南,#genre#
CCTV13,http://[2409:8087:1:20:20::2a]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226446/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EU-IJJyzlYeEElWsacI4JKw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMT7DWkynQtRPzNDJCOY_C_%2CEND

湖南频道移动,#genre#
1,http://120.228.210.92:808/hls/1/index.m3u8
2,http://120.228.210.92:808/hls/2/index.m3u8
3,http://120.228.210.92:808/hls/3/index.m3u8
4,http://120.228.210.92:808/hls/4/index.m3u8
5,http://120.228.210.92:808/hls/5/index.m3u8
6,http://120.228.210.92:808/hls/6/index.m3u8
7,http://120.228.210.92:808/hls/7/index.m3u8
8,http://120.228.210.92:808/hls/8/index.m3u8
9,http://120.228.210.92:808/hls/9/index.m3u8
10,http://120.228.210.92:808/hls/10/index.m3u8
11,http://120.228.210.92:808/hls/11/index.m3u8
12,http://120.228.210.92:808/hls/12/index.m3u8
13,http://120.228.210.92:808/hls/13/index.m3u8
14,http://120.228.210.92:808/hls/14/index.m3u8
15,http://120.228.210.92:808/hls/15/index.m3u8
16,http://120.228.210.92:808/hls/16/index.m3u8
17,http://120.228.210.92:808/hls/17/index.m3u8
18,http://120.228.210.92:808/hls/18/index.m3u8
19,http://120.228.210.92:808/hls/19/index.m3u8
20,http://120.228.210.92:808/hls/20/index.m3u8
21,http://120.228.210.92:808/hls/21/index.m3u8
22,http://120.228.210.92:808/hls/22/index.m3u8
23,http://120.228.210.92:808/hls/23/index.m3u8
24,http://120.228.210.92:808/hls/24/index.m3u8
25,http://120.228.210.92:808/hls/25/index.m3u8
26,http://120.228.210.92:808/hls/26/index.m3u8
27,http://120.228.210.92:808/hls/27/index.m3u8
28,http://120.228.210.92:808/hls/28/index.m3u8
29,http://120.228.210.92:808/hls/29/index.m3u8
31,http://120.228.210.92:808/hls/31/index.m3u8
32,http://120.228.210.92:808/hls/32/index.m3u8
33,http://120.228.210.92:808/hls/33/index.m3u8
35,http://120.228.210.92:808/hls/35/index.m3u8
36,http://120.228.210.92:808/hls/36/index.m3u8
37,http://120.228.210.92:808/hls/37/index.m3u8
38,http://120.228.210.92:808/hls/38/index.m3u8
39,http://120.228.210.92:808/hls/39/index.m3u8
40,http://120.228.210.92:808/hls/40/index.m3u8
41,http://120.228.210.92:808/hls/41/index.m3u8
42,http://120.228.210.92:808/hls/42/index.m3u8
43,http://120.228.210.92:808/hls/43/index.m3u8
44,http://120.228.210.92:808/hls/44/index.m3u8
45,http://120.228.210.92:808/hls/45/index.m3u8
46,http://120.228.210.92:808/hls/46/index.m3u8
47,http://120.228.210.92:808/hls/47/index.m3u8
48,http://120.228.210.92:808/hls/48/index.m3u8
49,http://120.228.210.92:808/hls/49/index.m3u8
50,http://120.228.210.92:808/hls/50/index.m3u8

湖南频道联通,#genre#
CCTV-1,http://110.52.8.243:808/hls/1/index.m3u8
CCTV-2,http://110.52.8.243:808/hls/2/index.m3u8
CCTV-3,http://110.52.8.243:808/hls/3/index.m3u8
CCTV-4,http://110.52.8.243:808/hls/4/index.m3u8
CCTV-5,http://110.52.8.243:808/hls/5/index.m3u8
CCTV-5+,http://110.52.8.243:808/hls/6/index.m3u8
CCTV-6,http://110.52.8.243:808/hls/7/index.m3u8
CCTV-7,http://110.52.8.243:808/hls/8/index.m3u8
CCTV-8,http://110.52.8.243:808/hls/9/index.m3u8
CCTV-9,http://110.52.8.243:808/hls/10/index.m3u8
CCTV-10,http://110.52.8.243:808/hls/11/index.m3u8
CCTV-11,http://110.52.8.243:808/hls/12/index.m3u8
CCTV-12,http://110.52.8.243:808/hls/13/index.m3u8
CCTV-13,http://110.52.8.243:808/hls/14/index.m3u8
CCTV-14,http://110.52.8.243:808/hls/15/index.m3u8
CCTV-15,http://110.52.8.243:808/hls/16/index.m3u8
湖南卫视,http://110.52.8.243:808/hls/18/index.m3u8
湖南公共,http://110.52.8.243:808/hls/19/index.m3u8
金鹰纪实,http://110.52.8.243:808/hls/20/index.m3u8
金鹰卡通,http://110.52.8.243:808/hls/21/index.m3u8
湖南国际,http://110.52.8.243:808/hls/22/index.m3u8
湖南都市,http://110.52.8.243:808/hls/23/index.m3u8
湖南娱乐,http://110.52.8.243:808/hls/24/index.m3u8
湖南经视,http://110.52.8.243:808/hls/25/index.m3u8
湖南电影,http://110.52.8.243:808/hls/26/index.m3u8
湖南电视剧,http://110.52.8.243:808/hls/27/index.m3u8












